"var1","var2","cor","p_value","FDR"
"METSYN.PWY..superpathway.of.L.homoserine.and.L.methionine.biosynthesis","MET.SAM.PWY..superpathway.of.S.adenosyl.L.methionine.biosynthesis",0.967064264849075,0,0
"NAD.BIOSYNTHESIS.II..NAD.salvage.pathway.III..to.nicotinamide.riboside.","DENOVOPURINE2.PWY..superpathway.of.purine.nucleotides.de.novo.biosynthesis.II",0.856295283663705,0,0
"NAD.BIOSYNTHESIS.II..NAD.salvage.pathway.III..to.nicotinamide.riboside.","ECASYN.PWY..enterobacterial.common.antigen.biosynthesis",0.809463161791929,0,0
"NAGLIPASYN.PWY..lipid.IVA.biosynthesis..E..coli.","BIOTIN.BIOSYNTHESIS.PWY..biotin.biosynthesis.I",0.904406037000974,0,0
"NAGLIPASYN.PWY..lipid.IVA.biosynthesis..E..coli.","GLYOXYLATE.BYPASS..glyoxylate.cycle",0.810061517429938,0,0
"NAGLIPASYN.PWY..lipid.IVA.biosynthesis..E..coli.","HEME.BIOSYNTHESIS.II.1..heme.b.biosynthesis.V..aerobic.",0.795472249269718,0,0
"OANTIGEN.PWY..O.antigen.building.blocks.biosynthesis..E..coli.","DTDPRHAMSYN.PWY..dTDP..beta..L.rhamnose.biosynthesis",0.778627069133398,0,0
"ORNDEG.PWY..superpathway.of.ornithine.degradation","GLUCARDEG.PWY..D.glucarate.degradation.I",0.815533428165007,0,0
"P122.PWY..heterolactic.fermentation","NAD.BIOSYNTHESIS.II..NAD.salvage.pathway.III..to.nicotinamide.riboside.",0.797938903202061,0,0
"P185.PWY..formaldehyde.assimilation.III..dihydroxyacetone.cycle.","GOLPDLCAT.PWY..superpathway.of.glycerol.degradation.to.1.3.propanediol",0.878634798037783,0,0
"P461.PWY..hexitol.fermentation.to.lactate..formate..ethanol.and.acetate","FAO.PWY..fatty.acid..beta..oxidation.I..generic.",0.7974679943101,0,0
"P461.PWY..hexitol.fermentation.to.lactate..formate..ethanol.and.acetate","GALACTARDEG.PWY..D.galactarate.degradation.I",0.858065984648263,0,0
"P461.PWY..hexitol.fermentation.to.lactate..formate..ethanol.and.acetate","GLUCARDEG.PWY..D.glucarate.degradation.I",0.796855775803144,0,0
"P461.PWY..hexitol.fermentation.to.lactate..formate..ethanol.and.acetate","GLUCARGALACTSUPER.PWY..superpathway.of.D.glucarate.and.D.galactarate.degradation",0.858065984648263,0,0
"P461.PWY..hexitol.fermentation.to.lactate..formate..ethanol.and.acetate","GLYOXYLATE.BYPASS..glyoxylate.cycle",0.786712235133288,0,0
"P461.PWY..hexitol.fermentation.to.lactate..formate..ethanol.and.acetate","HEME.BIOSYNTHESIS.II.1..heme.b.biosynthesis.V..aerobic.",0.805550146056475,0,0
