"feature","rel","metadata","value","coef","stderr","N","N.not.0","pval","qval","qjoin","log10qjoin","LABEL","LABEL_CHUAN"
"PWY.6121..5.aminoimidazole.ribonucleotide.biosynthesis.I",0.528086315310213,"Termness","preterm",-0.435463979854466,0.152721380097979,80,80,0.000719855302466321,0.120660001549568,0.0771810076470412,1.1124895557375,TRUE,"TRUE_PRETERM"
"PWY.6122..5.aminoimidazole.ribonucleotide.biosynthesis.II",0.566901237623337,"Termness","preterm",-0.459339429485066,0.157350485375083,80,80,0.000609353908918031,0.106677557654583,0.0683030336087211,1.16556000714907,TRUE,"TRUE_PRETERM"
"PWY.6277..superpathway.of.5.aminoimidazole.ribonucleotide.biosynthesis",0.566901237623337,"Termness","preterm",-0.459339429485066,0.157350485375083,80,80,0.000594995467173343,0.106531233872536,0.0682445963743936,1.16593173048046,TRUE,"TRUE_PRETERM"
