name,carac,coef,term_col,deg
LIPA.CORESYN.PWY..lipid.A.core.biosynthesis..E..coli.K.12.,pathway,1.46724377096103,preterm,57
LIPASYN.PWY..phospholipases,pathway,-0.367139701287181,term,128
LPSSYN.PWY..superpathway.of.lipopolysaccharide.biosynthesis,pathway,1.46724377096103,preterm,56
Lacticaseibacillus_rhamnosus.t__SGB7144,species,0.234539660771068,preterm,4
Lactobacillus_acidophilus.t__SGB7044,species,0.356217410864458,preterm,2
MET.SAM.PWY..superpathway.of.S.adenosyl.L.methionine.biosynthesis,pathway,-0.367053200883679,term,120
METHGLYUT.PWY..superpathway.of.methylglyoxal.degradation,pathway,-1.08987725630308,term,103
METSYN.PWY..superpathway.of.L.homoserine.and.L.methionine.biosynthesis,pathway,-0.367053200883679,term,133
NAD.BIOSYNTHESIS.II..NAD.salvage.pathway.III..to.nicotinamide.riboside.,pathway,-1.11112530545009,term,117
NAGLIPASYN.PWY..lipid.IVA.biosynthesis..E..coli.,pathway,-0.367053200883679,term,150
OANTIGEN.PWY..O.antigen.building.blocks.biosynthesis..E..coli.,pathway,0.279445364964425,preterm,51
ORNARGDEG.PWY..superpathway.of.L.arginine.and.L.ornithine.degradation,pathway,-0.196443955908646,term,76
ORNDEG.PWY..superpathway.of.ornithine.degradation,pathway,-1.7374635955838,term,144
P105.PWY..TCA.cycle.IV..2.oxoglutarate.decarboxylase.,pathway,0.00917667254555345,preterm,129
P108.PWY..pyruvate.fermentation.to.propanoate.I,pathway,-1.47874630430304,term,131
P122.PWY..heterolactic.fermentation,pathway,-0.367053200883679,term,118
P124.PWY..Bifidobacterium.shunt,pathway,0.214202508233576,preterm,30
P125.PWY..superpathway.of..R.R..butanediol.biosynthesis,pathway,1.01781016831579,preterm,65
P164.PWY..purine.nucleobases.degradation.I..anaerobic.,pathway,-1.28382563875183,term,51
P185.PWY..formaldehyde.assimilation.III..dihydroxyacetone.cycle.,pathway,-2.08972437495862,term,134
P221.PWY..octane.oxidation,pathway,1.5429217237669,preterm,110
P23.PWY..reductive.TCA.cycle.I,pathway,0.687057545935368,preterm,65
P4.PWY..superpathway.of.L.lysine..L.threonine.and.L.methionine.biosynthesis.I,pathway,-0.791090281222513,term,100
P42.PWY..incomplete.reductive.TCA.cycle,pathway,-0.175505077747912,term,86
P461.PWY..hexitol.fermentation.to.lactate..formate..ethanol.and.acetate,pathway,-0.367053200883679,term,159
P562.PWY..myo.inositol.degradation.I,pathway,-0.407995321610144,term,18
P621.PWY..nylon.6.oligomer.degradation,pathway,-2.50160457745368,term,43
PHOSLIPSYN.PWY..superpathway.of.phospholipid.biosynthesis.I..bacteria.,pathway,-0.367053200883679,term,130
POLYAMSYN.PWY..superpathway.of.polyamine.biosynthesis.I,pathway,-0.791090281222513,term,150
PPGPPMET.PWY..ppGpp.metabolism,pathway,-0.367053200883679,term,109
PROTOCATECHUATE.ORTHO.CLEAVAGE.PWY..protocatechuate.degradation.II..ortho.cleavage.pathway.,pathway,-2.96031431660644,term,128
PRPP.PWY..superpathway.of.histidine..purine..and.pyrimidine.biosynthesis,pathway,-1.29853251646035,term,101
PWY.1269..CMP.3.deoxy.D.manno.octulosonate.biosynthesis,pathway,-0.367053200883679,term,161
