source,target,importance
PRPP.PWY..superpathway.of.histidine..purine..and.pyrimidine.biosynthesis,DENOVOPURINE2.PWY..superpathway.of.purine.nucleotides.de.novo.biosynthesis.II,0.947696514012303
PRPP.PWY..superpathway.of.histidine..purine..and.pyrimidine.biosynthesis,ECASYN.PWY..enterobacterial.common.antigen.biosynthesis,0.895748488214242
PRPP.PWY..superpathway.of.histidine..purine..and.pyrimidine.biosynthesis,NAD.BIOSYNTHESIS.II..NAD.salvage.pathway.III..to.nicotinamide.riboside.,0.878195488721805
PRPP.PWY..superpathway.of.histidine..purine..and.pyrimidine.biosynthesis,PPGPPMET.PWY..ppGpp.metabolism,0.804921394395079
PWY.1269..CMP.3.deoxy.D.manno.octulosonate.biosynthesis,HEME.BIOSYNTHESIS.II.1..heme.b.biosynthesis.V..aerobic.,0.84143135345667
PWY.1269..CMP.3.deoxy.D.manno.octulosonate.biosynthesis,P461.PWY..hexitol.fermentation.to.lactate..formate..ethanol.and.acetate,0.768281402142162
PWY.5005..biotin.biosynthesis.II,P42.PWY..incomplete.reductive.TCA.cycle,0.842166174475217
PWY.5136..fatty.acid..beta..oxidation.II..plant.peroxisome.,FAO.PWY..fatty.acid..beta..oxidation.I..generic.,0.967652916073969
PWY.5136..fatty.acid..beta..oxidation.II..plant.peroxisome.,HEME.BIOSYNTHESIS.II.1..heme.b.biosynthesis.V..aerobic.,0.794363531205637
PWY.5136..fatty.acid..beta..oxidation.II..plant.peroxisome.,HOMOSER.METSYN.PWY..L.methionine.biosynthesis.I,0.849466323150534
PWY.5136..fatty.acid..beta..oxidation.II..plant.peroxisome.,MET.SAM.PWY..superpathway.of.S.adenosyl.L.methionine.biosynthesis,0.782428098217572
PWY.5136..fatty.acid..beta..oxidation.II..plant.peroxisome.,METSYN.PWY..superpathway.of.L.homoserine.and.L.methionine.biosynthesis,0.812713602187286
PWY.5136..fatty.acid..beta..oxidation.II..plant.peroxisome.,P461.PWY..hexitol.fermentation.to.lactate..formate..ethanol.and.acetate,0.857668647142331
PWY.5138..fatty.acid..beta..oxidation.IV..unsaturated..even.number.,ECASYN.PWY..enterobacterial.common.antigen.biosynthesis,0.848648648648649
PWY.5138..fatty.acid..beta..oxidation.IV..unsaturated..even.number.,FAO.PWY..fatty.acid..beta..oxidation.I..generic.,0.834850640113798
PWY.5138..fatty.acid..beta..oxidation.IV..unsaturated..even.number.,PPGPPMET.PWY..ppGpp.metabolism,0.789701280227596
PWY.5347..superpathway.of.L.methionine.biosynthesis..transsulfuration.,FAO.PWY..fatty.acid..beta..oxidation.I..generic.,0.83425320056899
PWY.5347..superpathway.of.L.methionine.biosynthesis..transsulfuration.,GALACTARDEG.PWY..D.galactarate.degradation.I,0.775945573413928
PWY.5347..superpathway.of.L.methionine.biosynthesis..transsulfuration.,GLUCARGALACTSUPER.PWY..superpathway.of.D.glucarate.and.D.galactarate.degradation,0.775945573413928
PWY.5347..superpathway.of.L.methionine.biosynthesis..transsulfuration.,HEME.BIOSYNTHESIS.II.1..heme.b.biosynthesis.V..aerobic.,0.813364167478091
PWY.5347..superpathway.of.L.methionine.biosynthesis..transsulfuration.,HOMOSER.METSYN.PWY..L.methionine.biosynthesis.I,0.943159688412853
PWY.5347..superpathway.of.L.methionine.biosynthesis..transsulfuration.,MET.SAM.PWY..superpathway.of.S.adenosyl.L.methionine.biosynthesis,0.897517039922103
PWY.5347..superpathway.of.L.methionine.biosynthesis..transsulfuration.,METSYN.PWY..superpathway.of.L.homoserine.and.L.methionine.biosynthesis,0.941041869522882
