2026-04-12 16:50:16.309 INFO::Writing function arguments to log file
2026-04-12 16:50:16.310197 DEBUG::Function arguments
2026-04-12 16:50:16.31068 DEBUG::Output folder: ALL_VAR_MAASLIN_CELL
2026-04-12 16:50:16.311155 DEBUG::Formula: ~ Termness + Sex + Delivery_mode + Feeding_method + Antibiotics + Probiotics + Ethnicity + Read_depth + acetate + propionate + isobutyrate + butyrate
2026-04-12 16:50:16.311602 DEBUG::Fixed effects:
2026-04-12 16:50:16.312048 DEBUG::Reference:
2026-04-12 16:50:16.312488 DEBUG::Random effects:
2026-04-12 16:50:16.312929 DEBUG::Group effects:
2026-04-12 16:50:16.313375 DEBUG::Ordered effects:
2026-04-12 16:50:16.470958 INFO::Re-running abundances for warn_prevalence
2026-04-12 16:50:16.472466 INFO::Running selected normalization method: TSS
2026-04-12 16:50:16.47437 INFO::Running selected transform method: LOG
2026-04-12 16:50:16.480467 DEBUG::Object: augment, Size: 56
2026-04-12 16:50:16.481213 DEBUG::Object: cluster, Size: 0
2026-04-12 16:50:16.481942 DEBUG::Object: cores, Size: 56
2026-04-12 16:50:16.482541 DEBUG::Object: correction, Size: 112
2026-04-12 16:50:16.483124 DEBUG::Object: extract_out, Size: 4216
2026-04-12 16:50:16.483648 DEBUG::Object: feature_specific_covariate, Size: 0
2026-04-12 16:50:16.484284 DEBUG::Object: feature_specific_covariate_name, Size: 0
2026-04-12 16:50:16.484977 DEBUG::Object: feature_specific_covariate_record, Size: 0
2026-04-12 16:50:16.485742 DEBUG::Object: features, Size: 5024
2026-04-12 16:50:16.486514 DEBUG::Object: formula, Size: 3808
2026-04-12 16:50:16.487239 DEBUG::Object: fun_list, Size: 58768
2026-04-12 16:50:16.488021 DEBUG::Object: func_to_run, Size: 435336
2026-04-12 16:50:16.488728 DEBUG::Object: groups, Size: 48
2026-04-12 16:50:16.502431 DEBUG::Object: median_comparison, Size: 56
2026-04-12 16:50:16.503282 DEBUG::Object: median_comparison_threshold, Size: 56
2026-04-12 16:50:16.504043 DEBUG::Object: metadata, Size: 19840
2026-04-12 16:50:16.504918 DEBUG::Object: model, Size: 112
2026-04-12 16:50:16.5056 DEBUG::Object: model_function, Size: 8864
2026-04-12 16:50:16.506247 DEBUG::Object: ordereds, Size: 48
2026-04-12 16:50:16.506853 DEBUG::Object: random_effects_formula, Size: 0
2026-04-12 16:50:16.507467 DEBUG::Object: ranef_function, Size: 0
2026-04-12 16:50:16.50835 DEBUG::Object: save_models, Size: 56
2026-04-12 16:50:16.508981 DEBUG::Object: small_random_effects, Size: 56
2026-04-12 16:50:16.509709 DEBUG::Object: strata, Size: 48
2026-04-12 16:50:16.51038 DEBUG::Object: subtract_median, Size: 56
2026-04-12 16:50:16.511097 DEBUG::Object: summary_function, Size: 49424
2026-04-12 16:50:16.511734 DEBUG::Object: func_to_run, Size: 435336
2026-04-12 16:50:16.512759 INFO::Fitting model to feature number 1, AC
2026-04-12 16:50:16.519172 INFO::Fitting model to feature number 2, BC
2026-04-12 16:50:16.526435 INFO::Fitting model to feature number 3, PC
2026-04-12 16:50:16.547673 WARNING::Deleting existing model objects file: ALL_VAR_MAASLIN_CELL/fits/models_linear.rds
2026-04-12 16:50:16.549378 INFO::Writing model objects to file ALL_VAR_MAASLIN_CELL/fits/models_linear.rds
2026-04-12 16:50:16.563166 WARNING::Deleting existing residuals file: ALL_VAR_MAASLIN_CELL/fits/residuals_linear.rds
2026-04-12 16:50:16.565035 INFO::Writing residuals to file ALL_VAR_MAASLIN_CELL/fits/residuals_linear.rds
2026-04-12 16:50:16.566602 WARNING::Deleting existing fitted file: ALL_VAR_MAASLIN_CELL/fits/fitted_linear.rds
2026-04-12 16:50:16.568172 INFO::Writing fitted values to file ALL_VAR_MAASLIN_CELL/fits/fitted_linear.rds
2026-04-12 16:50:16.569822 WARNING::Deleting existing model objects file: ALL_VAR_MAASLIN_CELL/fits/models_logistic.rds
