2026-04-20 11:42:07.403729 INFO::Writing function arguments to log file
2026-04-20 11:42:07.407907 DEBUG::Function arguments
2026-04-20 11:42:07.409972 DEBUG::Output folder: ALL_VAR_MAASLIN_SCFA
2026-04-20 11:42:07.411401 DEBUG::Formula: ~ Termness + Sex + Delivery_mode + Feeding_method + Antibiotics + Probiotics + Ethnicity + Read_depth
2026-04-20 11:42:07.412804 DEBUG::Fixed effects:
2026-04-20 11:42:07.41415 DEBUG::Reference:
2026-04-20 11:42:07.415568 DEBUG::Random effects:
2026-04-20 11:42:07.729868 INFO::Fitting model to feature number 3, isobutyrate
2026-04-20 11:42:07.734373 INFO::Fitting model to feature number 4, butyrate
2026-04-20 11:42:07.744147 INFO::Counting total values for each feature
2026-04-20 11:42:07.747821 INFO::Re-running abundances for warn_prevalence
2026-04-20 11:42:07.750448 INFO::Running selected normalization method: TSS
2026-04-20 11:42:07.75362 INFO::Running selected transform method: LOG
2026-04-20 11:42:07.759924 DEBUG::Object: augment, Size: 56
2026-04-20 11:42:07.761095 DEBUG::Object: cluster, Size: 0
2026-04-20 11:42:07.762197 DEBUG::Object: cores, Size: 56
2026-04-20 11:42:07.763252 DEBUG::Object: correction, Size: 112
2026-04-20 11:42:07.764362 DEBUG::Object: extract_out, Size: 3096
2026-04-20 11:42:07.765497 DEBUG::Object: feature_specific_covariate, Size: 0
2026-04-20 11:42:07.766526 DEBUG::Object: feature_specific_covariate_name, Size: 0
2026-04-20 11:42:07.767563 DEBUG::Object: feature_specific_covariate_record, Size: 0
2026-04-20 11:42:07.768689 DEBUG::Object: features, Size: 5520
2026-04-20 11:42:07.770184 DEBUG::Object: formula, Size: 2688
2026-04-20 11:42:07.771473 DEBUG::Object: fun_list, Size: 58768
2026-04-20 11:42:07.773176 DEBUG::Object: func_to_run, Size: 435336
2026-04-20 11:42:07.774434 DEBUG::Object: groups, Size: 48
2026-04-20 11:42:07.775632 DEBUG::Object: median_comparison, Size: 56
2026-04-20 11:42:07.776859 DEBUG::Object: median_comparison_threshold, Size: 56
2026-04-20 11:42:07.778063 DEBUG::Object: metadata, Size: 25888
2026-04-20 11:42:07.779335 DEBUG::Object: model, Size: 112
2026-04-20 11:42:07.781346 DEBUG::Object: model_function, Size: 8864
2026-04-20 11:42:07.784695 DEBUG::Object: ordereds, Size: 48
2026-04-20 11:42:07.807108 DEBUG::Object: random_effects_formula, Size: 0
2026-04-20 11:42:07.808335 DEBUG::Object: ranef_function, Size: 0
2026-04-20 11:42:07.809446 DEBUG::Object: save_models, Size: 56
2026-04-20 11:42:07.810496 DEBUG::Object: small_random_effects, Size: 56
2026-04-20 11:42:07.811519 DEBUG::Object: strata, Size: 48
2026-04-20 11:42:07.812565 DEBUG::Object: subtract_median, Size: 56
2026-04-20 11:42:07.81414 DEBUG::Object: summary_function, Size: 49424
2026-04-20 11:42:07.81536 DEBUG::Object: func_to_run, Size: 435336
2026-04-20 11:42:07.818284 INFO::Fitting model to feature number 1, acetate
2026-04-20 11:42:07.833562 INFO::Fitting model to feature number 2, propionate
2026-04-20 11:42:07.84405 INFO::Fitting model to feature number 3, isobutyrate
2026-04-20 11:42:07.853669 INFO::Fitting model to feature number 4, butyrate
2026-04-20 11:42:07.904614 WARNING::Deleting existing model objects file: ALL_VAR_MAASLIN_SCFA/fits/models_linear.rds
2026-04-20 11:42:07.908971 INFO::Writing model objects to file ALL_VAR_MAASLIN_SCFA/fits/models_linear.rds
2026-04-20 11:42:07.930725 WARNING::Deleting existing residuals file: ALL_VAR_MAASLIN_SCFA/fits/residuals_linear.rds
2026-04-20 11:42:07.935007 INFO::Writing residuals to file ALL_VAR_MAASLIN_SCFA/fits/residuals_linear.rds
2026-04-20 11:42:07.93843 WARNING::Deleting existing fitted file: ALL_VAR_MAASLIN_SCFA/fits/fitted_linear.rds
2026-04-20 11:42:07.9439 INFO::Writing fitted values to file ALL_VAR_MAASLIN_SCFA/fits/fitted_linear.rds
2026-04-20 11:42:07.950961 WARNING::Deleting existing model objects file: ALL_VAR_MAASLIN_SCFA/fits/models_logistic.rds
2026-04-20 11:42:07.954166 INFO::Writing model objects to file ALL_VAR_MAASLIN_SCFA/fits/models_logistic.rds
2026-04-20 11:42:07.987991 WARNING::Deleting existing residuals file: ALL_VAR_MAASLIN_SCFA/fits/residuals_logistic.rds
2026-04-20 11:42:07.991586 INFO::Writing residuals to file ALL_VAR_MAASLIN_SCFA/fits/residuals_logistic.rds
2026-04-20 11:42:07.994876 WARNING::Deleting existing fitted file: ALL_VAR_MAASLIN_SCFA/fits/fitted_logistic.rds
2026-04-20 11:42:07.999807 INFO::Writing fitted values to file ALL_VAR_MAASLIN_SCFA/fits/fitted_logistic.rds
2026-04-20 11:42:08.007604 INFO::Writing all the results to file (ordered 
            by increasing individual q-values): ALL_VAR_MAASLIN_SCFA/all_results.tsv
2026-04-20 11:42:08.013036 INFO::Writing the significant results without errors (those which have joint q-values less than or equal to the threshold of 0.100000 ) to file (ordered by increasing individual q-values): ALL_VAR_MAASLIN_SCFA/significant_results.tsv
2026-04-20 11:42:08.018967 INFO::Writing summary plot of significant
                        results to file: ALL_VAR_MAASLIN_SCFA/figures/summary_plot.pdf
2026-04-20 11:42:10.445564 INFO::Writing association plots (one for each significant association) to output folder: ALL_VAR_MAASLIN_SCFA/figures
2026-04-20 11:42:10.448432 INFO::All associations had errors 
                                or were insignificant.
