feature	acetate	propionate	isobutyrate	butyrate
CB10	1384.82379489052	50.5731938341564	79.0117548293052	104.371545888768
CB11	1012.18333333333	56.7916666666667	0.458333333333333	11.3916666666667
CB12	957.815730337079	68.0449438202247	0.665168539325843	0.11685393258427
CB13	2842.02828897873	71.8007541089895	88.7627218618867	124.725442062714
CB14	1356.70212701035	85.7107026165542	20.3630503504381	811.572353580574
CB15	218.577565632458	0.821002386634845	0.0477326968973747	1.11694510739857
CB16	1721.53349351992	NA	19.0509191480244	113.028865254487
CB17	450.691588785047	1.74098798397864	0.23497997329773	34.1895861148198
CB18	1158.45282835338	12.5321308676806	10.5283662665094	71.7103619462911
CB19	1753.02786036733	83.5312523222394	20.8116830417989	14.0889813050729
CB20	962.318181818182	31.0681818181818	0.136363636363636	0.727272727272727
CB21	560.165725047081	20.5800376647834	0.738229755178908	0.338983050847458
CB23	902.552278820375	3.62466487935657	0.343163538873995	72.3217158176944
CB24	640.153702879988	31.8594126788299	36.7900977409229	42.2978834224472
CB25	1492.53668763103	72.2767295597484	1.21593291404612	0.268343815513627
CB26	2271.87479406919	34.0428336079077	0.177924217462932	0.448105436573311
CB27	422.54085155351	25.1921749136939	2.692750287687	7.94016110471807
CB28	724.441640378549	6.13880126182965	1.65930599369085	46.6876971608833
CB29	55.650085738814	17.6425623643606	3.39846603365354	4.69188037598268
CB30	161.80701754386	67.8713450292398	47.4502923976608	83.8538011695906
CB31	1500.32394366197	4.16197183098592	0.028169014084507	0.140845070422535
CB32	3577.41843971631	0.219858156028369	0.0921985815602837	0.198581560283688
CB33	1465.6052344602	80.9465648854962	0.170119956379498	303.258451472192
CB34	1134.60427807487	4.19786096256684	0.0588235294117647	0.443850267379679
CB35	2085.48995363215	6.25656877897991	0.0989180834621329	0.197836166924266
CB36	188.216773165951	1.45250099676852	1.62632449928398	1.14798597730229
CB37	506.193475433454	82.4296404396568	NA	2.37339529708113
CB42	48.9251247920133	31.414309484193	0.0732113144758735	3.84692179700499
CB43	NA	27.2221979978546	1.85539674510112	0.233945068857522
CB44	184.377270103979	19.6071519834487	0.846629955250224	12.6011745069164
CB45	88.8820197113702	10.7625390550783	2.83910402731861	1.08924787305313
CB46	506.247818499127	355.448516579407	0.146596858638743	0.677137870855148
CB49	765.174899866489	28.5821094793057	0.277703604806409	0.299065420560748
CB50	318.251256281407	327.87135678392	8.74773869346734	82.2834170854271
CB51	1586.83771251932	29.9721792890263	0.259659969088099	1.34157650695518
CB52	167.264116575592	421.369763205829	3.2568306010929	41.8652094717668
