name,carac,coef,term_col,deg
NAD.BIOSYNTHESIS.II..NAD.salvage.pathway.III..to.nicotinamide.riboside.,pathway,0.266496384384344,term,57
OANTIGEN.PWY..O.antigen.building.blocks.biosynthesis..E..coli.,pathway,-0.591615704414945,preterm,26
ORNARGDEG.PWY..superpathway.of.L.arginine.and.L.ornithine.degradation,pathway,4.59963596631522,term,55
ORNDEG.PWY..superpathway.of.ornithine.degradation,pathway,1.48741302818647,term,81
P105.PWY..TCA.cycle.IV..2.oxoglutarate.decarboxylase.,pathway,1.48741302818647,term,85
P108.PWY..pyruvate.fermentation.to.propanoate.I,pathway,0.306069539851872,term,69
P124.PWY..Bifidobacterium.shunt,pathway,-1.65756293509236,preterm,7
P125.PWY..superpathway.of..R.R..butanediol.biosynthesis,pathway,-1.88607474382369,preterm,31
P164.PWY..purine.nucleobases.degradation.I..anaerobic.,pathway,4.1739912487655,term,26
P185.PWY..formaldehyde.assimilation.III..dihydroxyacetone.cycle.,pathway,1.33251235674166,term,58
P221.PWY..octane.oxidation,pathway,-0.314986878119516,preterm,63
P23.PWY..reductive.TCA.cycle.I,pathway,-3.35324681750332,preterm,62
P4.PWY..superpathway.of.L.lysine..L.threonine.and.L.methionine.biosynthesis.I,pathway,0.606606447962373,term,58
P42.PWY..incomplete.reductive.TCA.cycle,pathway,-6.10743463580626e-15,preterm,45
P562.PWY..myo.inositol.degradation.I,pathway,-0.429028824747374,preterm,15
P621.PWY..nylon.6.oligomer.degradation,pathway,4.5425685019325,term,14
PC,cell,-2.50762912148999,preterm,7
POLYAMSYN.PWY..superpathway.of.polyamine.biosynthesis.I,pathway,0.606606447962373,term,79
PROTOCATECHUATE.ORTHO.CLEAVAGE.PWY..protocatechuate.degradation.II..ortho.cleavage.pathway.,pathway,2.28522850306528,term,65
PRPP.PWY..superpathway.of.histidine..purine..and.pyrimidine.biosynthesis,pathway,0.617370696970862,term,53
PWY.1501..mandelate.degradation.I,pathway,1.118145151828,term,6
PWY.1622..formaldehyde.assimilation.I..serine.pathway.,pathway,-3.81231366208507,preterm,9
PWY.1861..formaldehyde.assimilation.II..assimilatory.RuMP.Cycle.,pathway,-6.10743463580626e-15,preterm,29
PWY.2221..Entner.Doudoroff.pathway.III..semi.phosphorylative.,pathway,-0.535854650359408,preterm,3
PWY.241..C4.photosynthetic.carbon.assimilation.cycle..NADP.ME.type,pathway,0.293823451803063,term,58
PWY.2942..L.lysine.biosynthesis.III,pathway,-1.11727287052283,preterm,14
PWY.3801..sucrose.degradation.II..sucrose.synthase.,pathway,0.178773932924049,term,31
PWY.4984..urea.cycle,pathway,0.88578418127804,term,34
PWY.5005..biotin.biosynthesis.II,pathway,-3.25823837920506,preterm,35
PWY.5028..L.histidine.degradation.II,pathway,-0.362085869305308,preterm,21
PWY.5030..L.histidine.degradation.III,pathway,-1.749728678894,preterm,8
PWY.5130..2.oxobutanoate.degradation.I,pathway,-0.0140510684729677,preterm,15
PWY.5136..fatty.acid..beta..oxidation.II..plant.peroxisome.,pathway,1.30692965586165,term,92
PWY.5138..fatty.acid..beta..oxidation.IV..unsaturated..even.number.,pathway,1.48741302818647,term,59
PWY.5180..toluene.degradation.I..aerobic...via.o.cresol.,pathway,1.57041616274332,term,57
PWY.5265..peptidoglycan.biosynthesis.II..staphylococci.,pathway,-0.591615704414945,preterm,47
PWY.5345..superpathway.of.L.methionine.biosynthesis..by.sulfhydrylation.,pathway,-0.591615704414945,preterm,30
PWY.5367..petroselinate.biosynthesis,pathway,0.716167950399449,term,65
PWY.5415..catechol.degradation.I..meta.cleavage.pathway.,pathway,1.57041616274332,term,13
PWY.5417..catechol.degradation.III..ortho.cleavage.pathway.,pathway,2.13685056331543,term,60
PWY.5431..aromatic.compounds.degradation.via..beta..ketoadipate,pathway,2.13685056331543,term,60
PWY.5497..purine.nucleobases.degradation.II..anaerobic.,pathway,0.00444882698186712,term,50
PWY.5505..L.glutamate.and.L.glutamine.biosynthesis,pathway,-0.345768688062431,preterm,30
PWY.561..superpathway.of.glyoxylate.cycle.and.fatty.acid.degradation,pathway,1.48741302818647,term,100
PWY.5654..2.amino.3.carboxymuconate.semialdehyde.degradation.to.2.hydroxypentadienoate,pathway,0.268670116572808,term,3
PWY.5656..mannosylglycerate.biosynthesis.I,pathway,-2.45180876124255,preterm,16
PWY.5676..acetyl.CoA.fermentation.to.butanoate.II,pathway,-0.0635263140782611,preterm,9
PWY.5692..allantoin.degradation.to.glyoxylate.II,pathway,-0.966447441155502,preterm,6
PWY.5705..allantoin.degradation.to.glyoxylate.III,pathway,-1.17575227949951,preterm,36
PWY.5723..Rubisco.shunt,pathway,1.48741302818647,term,70
PWY.5747..2.methylcitrate.cycle.II,pathway,1.85871643147041,term,52
PWY.5838..superpathway.of.menaquinol.8.biosynthesis.I,pathway,0.766534190463162,term,68
PWY.5845..superpathway.of.menaquinol.9.biosynthesis,pathway,1.48741302818647,term,72
PWY.5850..superpathway.of.menaquinol.6.biosynthesis,pathway,1.48741302818647,term,72
PWY.5855..ubiquinol.7.biosynthesis..early.decarboxylation.,pathway,1.48741302818647,term,37
PWY.5860..superpathway.of.demethylmenaquinol.6.biosynthesis.I,pathway,1.48741302818647,term,70
PWY.5861..superpathway.of.demethylmenaquinol.8.biosynthesis.I,pathway,0.766534190463162,term,75
PWY.5862..superpathway.of.demethylmenaquinol.9.biosynthesis,pathway,1.48741302818647,term,70
PWY.5896..superpathway.of.menaquinol.10.biosynthesis,pathway,1.48741302818647,term,72
PWY.5910..superpathway.of.geranylgeranyldiphosphate.biosynthesis.I..via.mevalonate.,pathway,-0.104031656005484,preterm,39
PWY.5920..superpathway.of.heme.b.biosynthesis.from.glycine,pathway,0.606606447962373,term,28
PWY.5971..palmitate.biosynthesis..type.II.fatty.acid.synthase.,pathway,0.256278818898886,term,60
PWY.5972..stearate.biosynthesis.I..animals.,pathway,1.07929126760722,term,15
PWY.6168..flavin.biosynthesis.III..fungi.,pathway,-1.40689988002239,preterm,24
PWY.6182..superpathway.of.salicylate.degradation,pathway,2.13685056331543,term,61
PWY.6185..4.methylcatechol.degradation..ortho.cleavage.,pathway,2.28522850306528,term,68
PWY.6210..2.aminophenol.degradation,pathway,0.268670116572808,term,3
PWY.622..starch.biosynthesis,pathway,0.96908496391539,term,16
PWY.6284..superpathway.of.unsaturated.fatty.acids.biosynthesis..E..coli.,pathway,0.716167950399449,term,65
PWY.6285..superpathway.of.fatty.acids.biosynthesis..E..coli.,pathway,0.716167950399449,term,59
PWY.6292..superpathway.of.L.cysteine.biosynthesis..mammalian.,pathway,-6.10743463580626e-15,preterm,57
PWY.6293..superpathway.of.L.cysteine.biosynthesis..fungi.,pathway,0.469154695838842,term,10
PWY.6305..superpathway.of.putrescine.biosynthesis,pathway,0.606606447962373,term,87
PWY.6318..L.phenylalanine.degradation.IV..mammalian..via.side.chain.,pathway,-1.53424958659551,preterm,38
PWY.6328..L.lysine.degradation.X,pathway,-0.212016958104703,preterm,2
PWY.6353..purine.nucleotides.degradation.II..aerobic.,pathway,-0.271761833842248,preterm,46
PWY.6396..superpathway.of.2.3.butanediol.biosynthesis,pathway,-1.11685064902489,preterm,1
PWY.6507..4.deoxy.L.threo.hex.4.enopyranuronate.degradation,pathway,1.00490028894577,term,78
PWY.6531..mannitol.cycle,pathway,0.664952453182173,term,57
PWY.6545..pyrimidine.deoxyribonucleotides.de.novo.biosynthesis.III,pathway,1.48741302818647,term,30
PWY.6549..L.glutamine.biosynthesis.III,pathway,1.1157623911536,term,30
PWY.6588..pyruvate.fermentation.to.acetone,pathway,1.93614826802847,term,19
PWY.6590..superpathway.of.Clostridium.acetobutylicum.acidogenic.fermentation,pathway,-0.114908993440218,preterm,3
PWY.6595..superpathway.of.guanosine.nucleotides.degradation..plants.,pathway,-0.689317354170465,preterm,21
PWY.6606..guanosine.nucleotides.degradation.II,pathway,-6.10743463580626e-15,preterm,31
PWY.6607..guanosine.nucleotides.degradation.I,pathway,-0.689317354170465,preterm,16
PWY.6608..guanosine.nucleotides.degradation.III,pathway,-6.10743463580626e-15,preterm,63
PWY.6612..superpathway.of.tetrahydrofolate.biosynthesis,pathway,0.469154695838842,term,49
PWY.6690..cinnamate.and.3.hydroxycinnamate.degradation.to.2.hydroxypentadienoate,pathway,3.3085164983298,term,73
