feature	Bifidobacterium_breve.t__SGB17247	Veillonella_parvula.t__SGB6939	Bifidobacterium_dentium.t__SGB17234	Streptococcus_salivarius.t__SGB8005	Lacticaseibacillus_rhamnosus.t__SGB7144	Enterococcus_faecalis.t__SGB7962	Enterobacter_hormaechei.t__SGB10130	Klebsiella_grimontii.t__SGB10120	Staphylococcus_epidermidis.t__SGB7865	Staphylococcus_hominis.t__SGB7858	Streptococcus_thermophilus.t__SGB8002	Streptococcus_vestibularis.t__SGB8003	Veillonella_dispar.t__SGB6952	Veillonella_atypica.t__SGB6936	Corynebacterium_kroppenstedtii.t__SGB17005	Veillonella_rogosae.t__SGB6956	Cutibacterium_avidum.t__SGB16953	Bifidobacterium_pseudocatenulatum.t__SGB17237	Anaerococcus_octavius.t__SGB6655	Anaerococcus_nagyae.t__SGB24935	Clostridium_perfringens.t__SGB6191	Negativicoccus_succinicivorans.t__SGB5794	Staphylococcus_aureus.t__SGB7852	Lancefieldella_parvula.t__SGB966	Actinomyces_sp_ph3.t__SGB17137_group	Haemophilus_parainfluenzae.t__SGB9663_group	Dermabacter_hominis.t__SGB17179	Finegoldia_magna.t__SGB6686_group	Phocaeicola_dorei.t__SGB1815	Staphylococcus_lugdunensis.t__SGB7850	Bacteroides_faecis.t__SGB1860	Streptococcus_mitis.t__SGB8180_group	Rothia_mucilaginosa.t__SGB16971_group	Escherichia_coli.t__SGB10068	Bifidobacterium_bifidum.t__SGB17256	Raoultella_ornithinolytica.t__SGB10124	Clostridium_butyricum.t__SGB6170	Rothia_mucilaginosa.t__SGB16985	Lactobacillus_acidophilus.t__SGB7044	Corynebacterium_kroppenstedtii.t__SGB17000	Klebsiella_variicola.t__SGB10114	Streptococcus_salivarius.t__SGB8007_group	Streptococcus_mitis.t__SGB8168	Corynebacterium_pseudodiphtheriticum.t__SGB17013	Dolosigranulum_pigrum.t__SGB7017	Enterococcus_gilvus.t__SGB7929	Klebsiella_pneumoniae.t__SGB10115	Veillonella_seminalis.t__SGB6923	Streptococcus_parasanguinis.t__SGB8071	Klebsiella_michiganensis.t__SGB10119	Bifidobacterium_longum.t__SGB17248	Streptococcus_pasteurianus.t__SGB8018	Enterobacter_asburiae.t__SGB10141	Enterobacter_roggenkampii.t__SGB10139	Leclercia_adecarboxylata.t__SGB10147	Acinetobacter_johnsonii.t__SGB10398	Kluyvera_cryocrescens.t__SGB23242	Stenotrophomonas_maltophilia.t__SGB12459	Acinetobacter_ursingii.t__SGB10372	Bacteroides_uniformis.t__SGB1836	Citrobacter_freundii.t__SGB10083	Parabacteroides_distasonis.t__SGB1934	Eggerthella_lenta.t__SGB14809	Enterobacter_kobei.t__SGB10133	Prevotella_bivia.t__SGB1557	Acinetobacter_guillouiae.t__SGB10380	Clostridium_neonatale.t__SGB6169	Citrobacter_braakii.t__SGB10086	Staphylococcus_haemolyticus.t__SGB7861	Serratia_marcescens.t__SGB10251	Neisseria_subflava.t__SGB9450	Erysipelatoclostridium_ramosum.t__SGB6744	Clostridium_tertium.t__SGB6183	Corynebacterium_accolens.t__SGB17097	Cutibacterium_acnes.t__SGB16955	Veillonella_sp_3627.t__SGB6934	Bifidobacterium_catenulatum.t__SGB17241	Actinomyces_urogenitalis.t__SGB15868	Veillonella_sp_3310.t__SGB6930	Gemella_haemolysans.t__SGB7285_group	Collinsella_aerofaciens.t__SGB14535_group	Intestinibacter_bartlettii.t__SGB6140	Haemophilus_parahaemolyticus.t__SGB9632	Rothia_mucilaginosa.t__SGB16986	Cellulosilyticum_lentocellum.t__SGB6079	Winkia_neuii.t__SGB17192	Peptostreptococcus_anaerobius.t__SGB746	Peptoniphilus_gorbachii.t__SGB6699	Proteus_mirabilis.t__SGB9992	Cutibacterium_granulosum.t__SGB16958	Clostridium_paraputrificum.t__SGB6187	Haemophilus_parainfluenzae.t__SGB9657	Enterobacter_bugandensis.t__SGB10135	Phytobacter_diazotrophicus.t__SGB10057	Streptococcus_sp_F0442.t__SGB8067	Haemophilus_haemolyticus.t__SGB9649	Megasphaera_micronuciformis.t__SGB5868	Scardovia_wiggsiae.t__SGB15494	Corynebacterium_bovis.t__SGB33717	Streptococcus_infantis.t__SGB8095	Corynebacterium_simulans.t__SGB17120	Atlantibacter_hermannii.t__SGB10047	Klebsiella_oxytoca.t__SGB10118
CB21	0.000347100034710003	NA	NA	NA	NA	0.000229900022990002	NA	NA	0.00293530029353003	NA	NA	NA	0.00770700077070008	0.000270200027020003	8.66000086600009e-05	NA	NA	NA	NA	NA	NA	NA	0.00597470059747006	NA	NA	0.00499920049992005	NA	NA	NA	NA	NA	NA	NA	0.553305255330526	NA	NA	NA	NA	NA	NA	0.0528075052807505	6.02000060200006e-05	NA	NA	NA	NA	NA	0.0449001044900105	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CB23	NA	NA	NA	NA	NA	NA	NA	NA	0.0269731026973103	0.00234840023484002	NA	NA	NA	0.00843920084392008	NA	NA	NA	NA	NA	NA	0.366280936628094	NA	0.0162656016265602	NA	NA	0.00798770079877008	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00852610085261008	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.77000047700005e-05	0.562475756247576	NA	NA	NA	0.000427800042780004	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000227700022770002
CB24	NA	NA	NA	NA	NA	0.0138968986103101	NA	0.219578778042122	0.0163601983639802	NA	NA	0.000220299977970002	0.0143080985691901	NA	8.39999916000009e-06	NA	NA	NA	NA	NA	0.0433143956685604	NA	NA	NA	NA	0.00275369972463003	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.688357531164247	0.000886399911360009	0.000214699978530002	5.52999944700006e-05	4.38999956100004e-05	1.39999986000001e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CB25	0.0823231	NA	NA	NA	NA	NA	NA	NA	NA	0.0001036	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.07e-05	NA	NA	NA	0.3342309	NA	NA	NA	6.68e-05	0.0022878	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0224259	NA	NA	0.0007143	0.0126059	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.1954185	0.1518331	0.1395293	1.41e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CB26	0.335531767106353	0.0631809126361825	NA	NA	NA	0.00100910020182004	0.000934600186920037	8.57000171400034e-05	0.000384900076980015	NA	NA	NA	NA	NA	NA	NA	NA	0.00621860124372025	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0265187053037411	6.24000124800025e-05	0.00197750039550008	NA	NA	0.0410039082007816	0.209694041938808	0.000280300056060011	NA	NA	NA	NA	NA	0.00424320084864017	0.000207900041580008	NA	0.00050120010024002	NA	NA	NA	0.000890800178160036	0.000576600115320023	0.0311890062378012	NA	0.000786500157300031	7.5400015080003e-05	NA	NA	NA	NA	NA	0.000915700183140037	2.00000040000008e-06	5.43000108600022e-05	0.000339000067800014	0.000930100186020037	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.194526538905308	NA	NA	NA	0.024030204806041	NA	NA	NA	NA	1.86000037200007e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CB27	NA	NA	NA	NA	NA	0.0295605	NA	NA	0.0254611	0.0128796	NA	0.0135341	0.0575639	0.0848454	NA	NA	NA	NA	NA	NA	0.1477109	NA	0.014503	0.0018712	NA	0.0029063	NA	0.0001984	NA	NA	NA	0.0001401	0.0001387	0.0856254	NA	NA	NA	NA	NA	NA	NA	0.0152324	0.0035901	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.4201869	2.2e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0008636	NA	NA	NA	3.85e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0012636	NA	NA	NA	NA	0.0004663	NA	NA	0.0002557	NA	0.0330959	NA
CB28	NA	NA	NA	NA	NA	NA	NA	NA	0.106902	0.0033913	NA	0.002169	0.0154188	NA	NA	NA	NA	NA	NA	NA	0.2031212	NA	NA	NA	NA	0.0015613	NA	NA	NA	0.0012057	NA	7.77e-05	NA	0.5362218	NA	NA	NA	NA	NA	NA	NA	0.0082155	3.39e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0017495	NA	NA	9.9e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.1143497	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0006944
CB33	2.73000027300003e-05	NA	NA	NA	NA	NA	NA	NA	0.137031613703161	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0445922044592204	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.230611823061182	NA	NA	NA	0.0410453041045304	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.64000056400006e-05	NA	NA	0.473880147388015	0.0676321067632107	0.00512310051231005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CB36	0.000269899973010003	NA	NA	NA	NA	0.000170399982960002	NA	NA	0.0757436924256308	0.190166480983352	NA	0.000868299913170009	0.00656839934316007	0.000485599951440005	NA	NA	0.00173039982696002	0.0640823935917606	NA	NA	NA	NA	NA	0.000612699938730006	NA	NA	NA	NA	0.000537799946220005	NA	0.000615199938480006	NA	0.00269759973024003	0.0598703940129606	0.322261067773893	NA	NA	NA	NA	NA	NA	0.171636982836302	0.000349999965000003	NA	NA	NA	NA	NA	0.00755509924449008	NA	0.0782271921772808	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000165699983430002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.59999964000004e-06	NA	NA	NA	NA	0.000463899953610005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0123234987676501	NA	0.000139499986050001	NA	0.000176799982320002	0.00113519988648001	NA	NA
CB46	0.0049710990057802	0.0591604881679024	NA	NA	NA	0.0536975892604821	NA	NA	0.000109299978140004	NA	NA	NA	NA	NA	NA	NA	0.000109099978180004	NA	NA	NA	NA	NA	0.000290099941980012	NA	NA	0.00173789965242007	NA	NA	NA	NA	NA	NA	NA	0.766738046652391	0.0393969921206016	0.0373791925241615	NA	NA	0.0049727990054402	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000292499941500012	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.07999878400024e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
