feature	Bifidobacterium_breve.t__SGB17247	Veillonella_parvula.t__SGB6939	Bifidobacterium_dentium.t__SGB17234	Streptococcus_salivarius.t__SGB8005	Lacticaseibacillus_rhamnosus.t__SGB7144	Enterococcus_faecalis.t__SGB7962	Enterobacter_hormaechei.t__SGB10130	Klebsiella_grimontii.t__SGB10120	Staphylococcus_epidermidis.t__SGB7865	Staphylococcus_hominis.t__SGB7858	Streptococcus_thermophilus.t__SGB8002	Streptococcus_vestibularis.t__SGB8003	Veillonella_dispar.t__SGB6952	Veillonella_atypica.t__SGB6936	Corynebacterium_kroppenstedtii.t__SGB17005	Veillonella_rogosae.t__SGB6956	Cutibacterium_avidum.t__SGB16953	Bifidobacterium_pseudocatenulatum.t__SGB17237	Anaerococcus_octavius.t__SGB6655	Anaerococcus_nagyae.t__SGB24935	Clostridium_perfringens.t__SGB6191	Negativicoccus_succinicivorans.t__SGB5794	Staphylococcus_aureus.t__SGB7852	Lancefieldella_parvula.t__SGB966	Actinomyces_sp_ph3.t__SGB17137_group	Haemophilus_parainfluenzae.t__SGB9663_group	Dermabacter_hominis.t__SGB17179	Finegoldia_magna.t__SGB6686_group	Phocaeicola_dorei.t__SGB1815	Staphylococcus_lugdunensis.t__SGB7850	Bacteroides_faecis.t__SGB1860	Streptococcus_mitis.t__SGB8180_group	Rothia_mucilaginosa.t__SGB16971_group	Escherichia_coli.t__SGB10068	Bifidobacterium_bifidum.t__SGB17256	Raoultella_ornithinolytica.t__SGB10124	Clostridium_butyricum.t__SGB6170	Rothia_mucilaginosa.t__SGB16985	Lactobacillus_acidophilus.t__SGB7044	Corynebacterium_kroppenstedtii.t__SGB17000	Klebsiella_variicola.t__SGB10114	Streptococcus_salivarius.t__SGB8007_group	Streptococcus_mitis.t__SGB8168	Corynebacterium_pseudodiphtheriticum.t__SGB17013	Dolosigranulum_pigrum.t__SGB7017	Enterococcus_gilvus.t__SGB7929	Klebsiella_pneumoniae.t__SGB10115	Veillonella_seminalis.t__SGB6923	Streptococcus_parasanguinis.t__SGB8071	Klebsiella_michiganensis.t__SGB10119	Bifidobacterium_longum.t__SGB17248	Streptococcus_pasteurianus.t__SGB8018	Enterobacter_asburiae.t__SGB10141	Enterobacter_roggenkampii.t__SGB10139	Leclercia_adecarboxylata.t__SGB10147	Acinetobacter_johnsonii.t__SGB10398	Kluyvera_cryocrescens.t__SGB23242	Stenotrophomonas_maltophilia.t__SGB12459	Acinetobacter_ursingii.t__SGB10372	Bacteroides_uniformis.t__SGB1836	Citrobacter_freundii.t__SGB10083	Parabacteroides_distasonis.t__SGB1934	Eggerthella_lenta.t__SGB14809	Enterobacter_kobei.t__SGB10133	Prevotella_bivia.t__SGB1557	Acinetobacter_guillouiae.t__SGB10380	Clostridium_neonatale.t__SGB6169	Citrobacter_braakii.t__SGB10086	Staphylococcus_haemolyticus.t__SGB7861	Serratia_marcescens.t__SGB10251	Neisseria_subflava.t__SGB9450	Erysipelatoclostridium_ramosum.t__SGB6744	Clostridium_tertium.t__SGB6183	Corynebacterium_accolens.t__SGB17097	Cutibacterium_acnes.t__SGB16955	Veillonella_sp_3627.t__SGB6934	Bifidobacterium_catenulatum.t__SGB17241	Actinomyces_urogenitalis.t__SGB15868	Veillonella_sp_3310.t__SGB6930	Gemella_haemolysans.t__SGB7285_group	Collinsella_aerofaciens.t__SGB14535_group	Intestinibacter_bartlettii.t__SGB6140	Haemophilus_parahaemolyticus.t__SGB9632	Rothia_mucilaginosa.t__SGB16986	Cellulosilyticum_lentocellum.t__SGB6079	Winkia_neuii.t__SGB17192	Peptostreptococcus_anaerobius.t__SGB746	Peptoniphilus_gorbachii.t__SGB6699	Proteus_mirabilis.t__SGB9992	Cutibacterium_granulosum.t__SGB16958	Clostridium_paraputrificum.t__SGB6187	Haemophilus_parainfluenzae.t__SGB9657	Enterobacter_bugandensis.t__SGB10135	Phytobacter_diazotrophicus.t__SGB10057	Streptococcus_sp_F0442.t__SGB8067	Haemophilus_haemolyticus.t__SGB9649	Megasphaera_micronuciformis.t__SGB5868	Scardovia_wiggsiae.t__SGB15494	Corynebacterium_bovis.t__SGB33717	Streptococcus_infantis.t__SGB8095	Corynebacterium_simulans.t__SGB17120	Atlantibacter_hermannii.t__SGB10047	Klebsiella_oxytoca.t__SGB10118
CB21	-11.4923608701134	NA	NA	NA	NA	-12.0867057692238	NA	NA	-8.41227618002349	NA	NA	NA	-7.01961474943269	-11.8536845606163	-13.4952733052153	NA	NA	NA	NA	NA	NA	NA	-7.38691786568883	NA	NA	-7.64408689518022	NA	NA	NA	NA	NA	NA	NA	-0.853852468227028	NA	NA	NA	NA	NA	NA	-4.24311320220182	-14.0198768431823	NA	NA	NA	NA	NA	-4.4771373874131	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CB23	NA	NA	NA	NA	NA	NA	NA	NA	-5.21233470644506	-8.73410597859407	NA	NA	NA	-6.8886778962866	NA	NA	NA	NA	NA	NA	-1.44897747805546	NA	-5.94203200449358	NA	NA	-6.9680039909657	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.87389816406586	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-14.3556510639365	-0.830137180060189	NA	NA	NA	-11.190775752777	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-12.1005779438054
CB24	NA	NA	NA	NA	NA	-6.16909323911103	NA	-2.18718946810743	-5.93366594901367	NA	NA	-12.1482430287802	-6.12702422749809	NA	-16.8611793857023	NA	NA	NA	NA	NA	-4.52900960112726	NA	NA	NA	NA	-8.50441303434158	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.53877000312914	-10.1397546424318	-12.1853903326223	-14.1423611382463	-14.4754196789457	-19.4461418864234	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CB25	-3.60255887967089	NA	NA	NA	NA	NA	NA	NA	NA	-13.236688376525	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-16.5120296778104	NA	NA	NA	-1.58108297664087	NA	NA	NA	-13.8697923717375	-8.77182334776426	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.47869030498773	NA	NA	-10.45118225822	-6.30975706648624	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.35536104316515	-2.71944175867736	-2.84135998698264	-16.1139453118127	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CB26	-1.57547873210662	-3.98436741308587	NA	NA	NA	-9.95271484610353	-10.0633630538077	-13.51034498156	-11.3432284198617	NA	NA	NA	NA	NA	NA	NA	NA	-7.32919417467344	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.23684584786373	-13.9680941568103	-8.98210630142498	NA	NA	-4.60809476606413	-2.25364222433244	-11.80074034664	NA	NA	NA	NA	NA	-7.88063131555991	-12.2318223328141	NA	-10.9623256763506	NA	NA	NA	-10.1326105328847	-10.7601412541776	-5.00281860431615	NA	-10.3122653253695	-13.6950756624038	NA	NA	NA	NA	NA	-10.0928370684551	-18.9315682807851	-14.1686879878681	-11.5264268176488	-10.0703262546304	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.36196110196274	NA	NA	NA	-5.37900724536851	NA	NA	NA	NA	-15.7143375645645	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CB27	NA	NA	NA	NA	NA	-5.08018551767159	NA	NA	-5.29556144020303	-6.27876840121174	NA	-6.20725723637092	-4.118691850649	-3.55901974541144	NA	NA	NA	NA	NA	NA	-2.75915180435865	NA	-6.10750483177924	-9.06182051785911	NA	-8.42660065320772	NA	-12.2993003538247	NA	NA	NA	-12.8012554237807	-12.8157445918879	-3.54581736723267	NA	NA	NA	NA	NA	NA	NA	-6.03671292061449	-8.12176025468206	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.25089691050525	-15.4721369506869	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-10.177349136189	NA	NA	NA	-14.6647820286293	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-9.62824444246466	NA	NA	NA	NA	-11.0664539498716	NA	NA	-11.9332602189699	NA	-4.91720368621769	NA
CB28	NA	NA	NA	NA	NA	NA	NA	NA	-3.22563925059331	-8.20394587146706	NA	-8.8487542316519	-6.01916570087818	NA	NA	NA	NA	NA	NA	NA	-2.29958727160629	NA	NA	NA	NA	-9.32303651036481	NA	NA	NA	-9.69591330143164	NA	-13.6517258758038	NA	-0.899098221869443	NA	NA	NA	NA	NA	NA	NA	-6.92743590357448	-14.8483552010752	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-9.15884162008432	NA	NA	-16.6241400441319	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.12847551408819	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-10.4919454317671
CB33	-15.1607393790222	NA	NA	NA	NA	NA	NA	NA	-2.86741932818846	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-4.48706466732022	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.11646161557294	NA	NA	NA	-4.60663901363359	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-14.1139451675432	NA	NA	-1.07740587254271	-3.88614789487096	-7.60876708773809	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CB36	-11.8552875470142	NA	NA	NA	NA	-12.5187871882552	NA	NA	-3.7227304369667	-2.39466511777744	NA	-10.1695189399794	-7.25024244243026	-11.0079441022254	NA	NA	-9.17467885851906	-3.96392815378731	NA	NA	NA	NA	NA	-10.6725316725037	NA	NA	NA	NA	-10.8606427686082	NA	-10.6666570205192	NA	-8.53410798753895	-4.06201342498459	-1.633698187353	NA	NA	NA	NA	NA	NA	-2.5425676492417	-11.4803576017613	NA	NA	NA	NA	NA	-7.04833357777056	NA	-3.6761860067914	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-12.5591389212596	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-18.0835718070387	NA	NA	NA	NA	-11.0738986776312	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.34244427967294	NA	-12.8074474017645	NA	-12.4655942490896	-9.78283793442048	NA	NA
CB46	-7.65221944798271	-4.07922223276529	NA	NA	NA	-4.21899886953456	NA	NA	-13.1594192670786	NA	NA	NA	NA	NA	NA	NA	-13.1620615664269	NA	NA	NA	NA	NA	-11.7511623725525	NA	NA	-9.16843950235755	NA	NA	NA	NA	NA	NA	NA	-0.383194324650028	-4.66577070269058	-4.7416207858594	NA	NA	-7.65172616434281	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-11.7392760433924	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-14.0055694393069	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
