2026-04-15 00:40:25.793783 INFO::Writing function arguments to log file
2026-04-15 00:40:25.794745 DEBUG::Function arguments
2026-04-15 00:40:25.795214 DEBUG::Output folder: ALL_VAR_MAASLIN_SCFA
2026-04-15 00:40:25.795648 DEBUG::Formula: ~ Termness + Sex + Delivery_mode + Feeding_method + Antibiotics + Probiotics + Ethnicity + Read_depth
2026-04-15 00:40:25.79608 DEBUG::Fixed effects:
2026-04-15 00:40:25.796507 DEBUG::Reference:
2026-04-15 00:40:25.79695 DEBUG::Random effects:
2026-04-15 00:40:25.928356 INFO::Fitting model to feature number 3, isobutyrate
2026-04-15 00:40:25.936431 INFO::Fitting model to feature number 4, butyrate
2026-04-15 00:40:25.941224 INFO::Counting total values for each feature
2026-04-15 00:40:25.943205 INFO::Re-running abundances for warn_prevalence
2026-04-15 00:40:25.944157 INFO::Running selected normalization method: TSS
2026-04-15 00:40:25.945449 INFO::Running selected transform method: LOG
2026-04-15 00:40:25.950879 DEBUG::Object: augment, Size: 56
2026-04-15 00:40:25.951519 DEBUG::Object: cluster, Size: 0
2026-04-15 00:40:25.952044 DEBUG::Object: cores, Size: 56
2026-04-15 00:40:25.952539 DEBUG::Object: correction, Size: 112
2026-04-15 00:40:25.953019 DEBUG::Object: extract_out, Size: 3096
2026-04-15 00:40:25.953616 DEBUG::Object: feature_specific_covariate, Size: 0
2026-04-15 00:40:25.954106 DEBUG::Object: feature_specific_covariate_name, Size: 0
2026-04-15 00:40:25.954577 DEBUG::Object: feature_specific_covariate_record, Size: 0
2026-04-15 00:40:25.955062 DEBUG::Object: features, Size: 8784
2026-04-15 00:40:25.955539 DEBUG::Object: formula, Size: 2688
2026-04-15 00:40:25.956026 DEBUG::Object: fun_list, Size: 58768
2026-04-15 00:40:25.956527 DEBUG::Object: func_to_run, Size: 435336
2026-04-15 00:40:25.957014 DEBUG::Object: groups, Size: 48
2026-04-15 00:40:25.957501 DEBUG::Object: median_comparison, Size: 56
2026-04-15 00:40:25.95797 DEBUG::Object: median_comparison_threshold, Size: 56
2026-04-15 00:40:25.958458 DEBUG::Object: metadata, Size: 30528
2026-04-15 00:40:25.958967 DEBUG::Object: model, Size: 112
2026-04-15 00:40:25.959445 DEBUG::Object: model_function, Size: 8864
2026-04-15 00:40:25.959912 DEBUG::Object: ordereds, Size: 48
2026-04-15 00:40:25.960386 DEBUG::Object: random_effects_formula, Size: 0
2026-04-15 00:40:25.960851 DEBUG::Object: ranef_function, Size: 0
2026-04-15 00:40:25.961311 DEBUG::Object: save_models, Size: 56
2026-04-15 00:40:25.961764 DEBUG::Object: small_random_effects, Size: 56
2026-04-15 00:40:25.962233 DEBUG::Object: strata, Size: 48
2026-04-15 00:40:25.962693 DEBUG::Object: subtract_median, Size: 56
2026-04-15 00:40:25.963157 DEBUG::Object: summary_function, Size: 49424
2026-04-15 00:40:25.963692 DEBUG::Object: func_to_run, Size: 435336
2026-04-15 00:40:25.964231 INFO::Fitting model to feature number 1, acetate
2026-04-15 00:40:25.969655 INFO::Fitting model to feature number 2, propionate
2026-04-15 00:40:25.974837 INFO::Fitting model to feature number 3, isobutyrate
2026-04-15 00:40:25.97997 INFO::Fitting model to feature number 4, butyrate
2026-04-15 00:40:25.999051 WARNING::Deleting existing model objects file: ALL_VAR_MAASLIN_SCFA/fits/models_linear.rds
