feature	Bifidobacterium_breve.t__SGB17247	Veillonella_parvula.t__SGB6939	Lacticaseibacillus_rhamnosus.t__SGB7144	Enterococcus_faecalis.t__SGB7962	Enterobacter_hormaechei.t__SGB10130	Klebsiella_grimontii.t__SGB10120	Staphylococcus_epidermidis.t__SGB7865	Staphylococcus_hominis.t__SGB7858	Streptococcus_vestibularis.t__SGB8003	Veillonella_dispar.t__SGB6952	Veillonella_atypica.t__SGB6936	Cutibacterium_avidum.t__SGB16953	Bifidobacterium_pseudocatenulatum.t__SGB17237	Clostridium_perfringens.t__SGB6191	Staphylococcus_aureus.t__SGB7852	Haemophilus_parainfluenzae.t__SGB9663_group	Finegoldia_magna.t__SGB6686_group	Staphylococcus_lugdunensis.t__SGB7850	Escherichia_coli.t__SGB10068	Bifidobacterium_bifidum.t__SGB17256	Raoultella_ornithinolytica.t__SGB10124	Lactobacillus_acidophilus.t__SGB7044	Klebsiella_variicola.t__SGB10114	Streptococcus_salivarius.t__SGB8007_group	Streptococcus_mitis.t__SGB8168	Klebsiella_pneumoniae.t__SGB10115	Streptococcus_parasanguinis.t__SGB8071	Klebsiella_michiganensis.t__SGB10119	Bifidobacterium_longum.t__SGB17248	Enterobacter_asburiae.t__SGB10141	Citrobacter_freundii.t__SGB10083	Clostridium_neonatale.t__SGB6169	Staphylococcus_haemolyticus.t__SGB7861	Clostridium_paraputrificum.t__SGB6187	Haemophilus_parainfluenzae.t__SGB9657	Haemophilus_haemolyticus.t__SGB9649	Scardovia_wiggsiae.t__SGB15494
CB25	-3.60255887967089	NA	NA	NA	NA	NA	NA	-13.236688376525	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-8.77182334776426	NA	NA	NA	NA	NA	NA	NA	-10.45118225822	-6.30975706648624	NA	NA	-2.71944175867736	NA	NA	NA	NA	NA	NA
CB26	-1.57547873210662	-3.98436741308587	NA	-9.95271484610353	-10.0633630538077	-13.51034498156	-11.3432284198617	NA	NA	NA	NA	NA	-7.32919417467344	NA	NA	NA	NA	-13.9680941568103	-4.60809476606413	-2.25364222433244	-11.80074034664	NA	NA	-7.88063131555991	-12.2318223328141	NA	-10.1326105328847	-10.7601412541776	-5.00281860431615	-10.3122653253695	-18.9315682807851	NA	NA	NA	NA	NA	NA
CB27	NA	NA	NA	-5.08018551767159	NA	NA	-5.29556144020303	-6.27876840121174	-6.20725723637092	-4.118691850649	-3.55901974541144	NA	NA	-2.75915180435865	-6.10750483177924	-8.42660065320772	-12.2993003538247	NA	-3.54581736723267	NA	NA	NA	NA	-6.03671292061449	-8.12176025468206	NA	NA	NA	NA	-1.25089691050525	NA	NA	NA	NA	-9.62824444246466	NA	NA
CB28	NA	NA	NA	NA	NA	NA	-3.22563925059331	-8.20394587146706	-8.8487542316519	-6.01916570087818	NA	NA	NA	-2.29958727160629	NA	-9.32303651036481	NA	-9.69591330143164	-0.899098221869443	NA	NA	NA	NA	-6.92743590357448	-14.8483552010752	NA	NA	NA	NA	NA	NA	NA	NA	-3.12847551408819	NA	NA	NA
CB33	-15.1607393790222	NA	NA	NA	NA	NA	-2.86741932818846	NA	NA	NA	NA	NA	NA	NA	-4.48706466732022	NA	NA	NA	NA	-2.11646161557294	NA	-4.60663901363359	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.07740587254271	-7.60876708773809	NA	NA	NA	NA
CB36	-11.8552875470142	NA	NA	-12.5187871882552	NA	NA	-3.7227304369667	-2.39466511777744	-10.1695189399794	-7.25024244243026	-11.0079441022254	-9.17467885851906	-3.96392815378731	NA	NA	NA	NA	NA	-4.06201342498459	-1.633698187353	NA	NA	NA	-2.5425676492417	-11.4803576017613	NA	-7.04833357777056	NA	-3.6761860067914	NA	NA	NA	NA	NA	NA	-6.34244427967294	-12.8074474017645
CB46	-7.65221944798271	-4.07922223276529	NA	-4.21899886953456	NA	NA	-13.1594192670786	NA	NA	NA	NA	-13.1620615664269	NA	NA	-11.7511623725525	-9.16843950235755	NA	NA	-0.383194324650028	-4.66577070269058	-4.7416207858594	-7.65172616434281	NA	NA	NA	NA	NA	-11.7392760433924	NA	NA	NA	NA	NA	NA	NA	NA	NA
CB50	-3.16271485783439	-1.77754509071165	NA	-4.29810216573289	-2.07637036891731	NA	-12.6433946012119	NA	NA	NA	-8.71803901789212	NA	NA	-6.8274612806056	-8.93276661622374	NA	-6.94506874836392	NA	NA	-4.48644376613388	NA	-6.42141018361761	NA	NA	NA	-5.21968654097209	NA	-7.71034397979664	-9.49194543176706	NA	NA	NA	NA	-9.20671369385519	-11.228357101933	NA	NA
CB51	-1.2264793963221	-3.07070603418099	NA	-5.47742367216568	-1.48923424234989	NA	-10.1054969664208	NA	NA	NA	-8.66238357958957	NA	NA	-6.54835044067721	-8.67754400422906	NA	-12.4381135126675	NA	-15.4461418864234	-4.80350590168361	NA	-11.4033099708353	NA	NA	NA	-6.95117918569497	NA	NA	NA	NA	NA	NA	NA	NA	-10.0898471324652	NA	NA
CB55	-1.05942261783792	NA	-5.2503797250717	-4.4736332064321	NA	NA	-10.1430134986648	-13.5565292822467	-11.4131122577694	NA	NA	-5.70131555547355	NA	-8.6375798564659	-13.0343282880189	NA	NA	-12.8494196722398	-11.4906995459828	-3.65339515942863	NA	NA	-1.59697898294451	-7.65582248359722	NA	NA	NA	NA	NA	NA	NA	NA	-9.89333557886189	NA	NA	NA	NA
